Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Hombres,37724,6242,7290,4596,5003,4552,3991,3220,2019,701,110
Mujeres,41038,6024,7077,4854,5603,4985,4461,3755,2605,1358,316
Aceguá,1511,203,278,208,214,183,156,146,80,34,9
Hombres,731,98,143,96,99,88,82,65,40,16,4
Mujeres,780,105,135,112,115,95,74,81,40,18,5
Fraile Muerto,3168,478,612,349,378,373,350,269,211,124,24
Hombres,1551,231,312,170,172,197,172,141,104,43,9
Mujeres,1617,247,300,179,206,176,178,128,107,81,15
Isidoro Noblía,2331,366,474,308,288,277,263,198,108,38,11
Hombres,1153,192,237,149,138,138,122,109,49,16,3
Mujeres,1178,174,237,159,150,139,141,89,59,22,8
Melo,51830,8115,9365,6091,7036,6218,5551,4664,3076,1411,303
Hombres,24517,4145,4752,2952,3267,2943,2575,2078,1263,469,73
Mujeres,27313,3970,4613,3139,3769,3275,2976,2586,1813,942,230
Río Branco,14604,2224,2590,1897,1972,1787,1616,1268,850,339,61
Hombres,7040,1118,1295,942,973,819,763,614,396,104,16
Mujeres,7564,1106,1295,955,999,968,853,654,454,235,45
Tupambaé,1122,171,219,118,143,154,109,91,86,25,6
Hombres,564,90,116,59,63,83,58,38,41,13,3
Mujeres,558,81,103,59,80,71,51,53,45,12,3
Menos de 1.000 habitantes,4196,709,829,479,575,545,407,339,213,88,12
Hombres,2168,368,435,228,291,284,219,175,126,40,2
Mujeres,2028,341,394,251,284,261,188,164,87,48,10
Rural,5936,751,894,638,769,820,819,688,405,130,22
Hombres,3326,375,456,351,437,450,487,426,252,81,11
Mujeres,2610,376,438,287,332,370,332,262,153,49,11

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
