Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Chacras de Paysandú,3965,683,774,490,616,478,404,275,159,76,10
Hombres,2079,367,395,255,310,257,210,133,105,42,5
Mujeres,1886,316,379,235,306,221,194,142,54,34,5
Guichón,5039,782,1053,657,567,573,522,410,321,131,23
Hombres,2513,415,526,343,288,277,262,210,133,49,10
Mujeres,2526,367,527,314,279,296,260,200,188,82,13
Nuevo Paysandú,8578,1764,1913,1314,1106,974,704,440,257,92,14
Hombres,4366,904,955,679,543,490,362,236,148,43,6
Mujeres,4212,860,958,635,563,484,342,204,109,49,8
Paysandú,76412,11049,12710,10489,9916,8733,8431,6835,5197,2626,426
Hombres,36359,5641,6333,5332,4824,4194,3913,3027,2034,933,128
Mujeres,40053,5408,6377,5157,5092,4539,4518,3808,3163,1693,298
Piedras Coloradas,1094,229,200,162,146,109,99,66,45,34,4
Hombres,557,106,103,81,76,58,54,34,26,16,3
Mujeres,537,123,97,81,70,51,45,32,19,18,1
Porvenir,1159,231,233,165,140,128,106,77,50,24,5
Hombres,599,115,136,81,70,60,63,37,23,11,3
Mujeres,560,116,97,84,70,68,43,40,27,13,2
Quebracho,2853,527,625,389,373,287,246,208,146,44,8
Hombres,1466,260,334,200,201,138,117,117,75,22,2
Mujeres,1387,267,291,189,172,149,129,91,71,22,6
San Félix,1718,326,396,262,229,191,148,77,64,24,1
Hombres,880,165,207,134,117,94,79,39,31,14,0
Mujeres,838,161,189,128,112,97,69,38,33,10,1
Tambores (1),1111,190,240,99,151,123,102,109,73,19,5
Hombres,554,93,127,48,64,67,48,58,40,7,2
Mujeres,557,97,113,51,87,56,54,51,33,12,3
Menos de 1.000 habitantes,6814,1260,1591,913,906,732,614,405,278,97,18
Hombres,3500,625,841,467,452,371,329,213,145,52,5
Mujeres,3314,635,750,446,454,361,285,192,133,45,13
Rural,4364,630,698,585,538,565,572,443,236,89,8
Hombres,2476,329,390,300,306,318,343,277,161,50,2
Mujeres,1888,301,308,285,232,247,229,166,75,39,6

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
(1): La información de esta localidad se corresponde únicamente con el área ubicada dentro del departamento de referencia.
