Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Delta del Tigre y Villas,20239,3798,3993,2939,2918,2368,1819,1227,826,306,45
Hombres,9863,1923,2030,1392,1422,1162,911,581,333,100,9
Mujeres,10376,1875,1963,1547,1496,1206,908,646,493,206,36
Ecilda Paullier,2585,347,395,349,370,297,267,279,189,76,16
Hombres,1299,169,206,194,192,140,151,124,86,31,6
Mujeres,1286,178,189,155,178,157,116,155,103,45,10
Libertad,10166,1455,1532,1529,1537,1138,1114,830,632,356,43
Hombres,4856,708,770,753,775,539,525,393,243,138,12
Mujeres,5310,747,762,776,762,599,589,437,389,218,31
Monte Grande,1287,288,256,180,186,161,98,71,40,7,0
Hombres,628,132,137,84,91,83,50,30,18,3,0
Mujeres,659,156,119,96,95,78,48,41,22,4,0
Playa Pascual,6870,1061,1144,1049,971,843,720,538,391,142,11
Hombres,3372,536,578,532,476,401,355,253,184,56,1
Mujeres,3498,525,566,517,495,442,365,285,207,86,10
Puntas de Valdez,1491,206,244,201,220,176,166,141,84,45,8
Hombres,739,107,125,104,111,86,73,72,40,17,4
Mujeres,752,99,119,97,109,90,93,69,44,28,4
Rafael Perazza,1277,112,231,169,155,176,160,137,86,46,5
Hombres,632,67,114,95,80,78,81,66,32,16,3
Mujeres,645,45,117,74,75,98,79,71,54,30,2
Rodríguez,2604,304,362,299,367,311,294,271,246,128,22
Hombres,1248,151,182,152,186,161,138,121,98,53,6
Mujeres,1356,153,180,147,181,150,156,150,148,75,16
Safici (Parque Postel),1087,179,208,151,149,122,111,84,51,30,2
Hombres,521,82,108,73,65,61,59,42,19,11,1
Mujeres,566,97,100,78,84,61,52,42,32,19,1
San José de Mayo,36743,4899,5532,4765,5456,4189,4300,3411,2610,1348,233
Hombres,17558,2522,2777,2419,2709,2005,1989,1577,1036,453,71
Mujeres,19185,2377,2755,2346,2747,2184,2311,1834,1574,895,162
Santa Mónica,1662,304,314,255,226,196,167,109,59,30,2
Hombres,819,168,154,132,101,107,82,44,20,11,0
Mujeres,843,136,160,123,125,89,85,65,39,19,2
Menos de 1.000 habitantes,5822,796,914,711,817,643,696,596,434,184,31
Hombres,2877,413,463,371,400,306,333,302,207,74,8
Mujeres,2945,383,451,340,417,337,363,294,227,110,23
Rural,16471,1864,2161,2542,2593,2124,2115,1635,954,415,68
Hombres,9581,965,1144,1633,1648,1251,1233,947,543,193,24
Mujeres,6890,899,1017,909,945,873,882,688,411,222,44

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
