Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Ansina,2712,462,550,336,343,344,262,204,135,63,13
Hombres,1353,242,266,177,159,176,128,104,69,27,5
Mujeres,1359,220,284,159,184,168,134,100,66,36,8
Curtina,1037,158,232,88,123,145,92,85,80,29,5
Hombres,534,78,113,44,59,80,59,43,41,15,2
Mujeres,503,80,119,44,64,65,33,42,39,14,3
Las Toscas,1142,193,257,117,154,165,108,68,57,19,4
Hombres,537,75,130,52,74,89,55,30,22,8,2
Mujeres,605,118,127,65,80,76,53,38,35,11,2
Paso de los Toros,12985,1865,2406,1590,1615,1582,1459,1159,827,389,93
Hombres,6211,914,1169,787,786,739,721,570,372,128,25
Mujeres,6774,951,1237,803,829,843,738,589,455,261,68
San Gregorio de Polanco,3415,554,688,360,430,435,353,267,211,96,21
Hombres,1702,287,364,170,212,188,186,143,99,45,8
Mujeres,1713,267,324,190,218,247,167,124,112,51,13
Tacuarembó,54755,8090,9825,7035,7378,6995,5876,4610,3183,1462,301
Hombres,26330,4185,5020,3524,3540,3319,2695,2122,1327,517,81
Mujeres,28425,3905,4805,3511,3838,3676,3181,2488,1856,945,220
Menos de 1.000 habitantes,4345,770,896,517,491,599,476,287,208,77,24
Hombres,2211,401,464,258,218,300,260,159,108,35,8
Mujeres,2134,369,432,259,273,299,216,128,100,42,16
Rural,9660,1427,1719,1041,1250,1296,1196,939,561,204,27
Hombres,5289,740,909,545,655,712,722,560,326,111,9
Mujeres,4371,687,810,496,595,584,474,379,235,93,18

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
