Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Cerro Chato (1),1694,257,369,203,219,214,173,145,71,34,9
Hombres,815,135,169,117,105,95,74,75,31,11,3
Mujeres,879,122,200,86,114,119,99,70,40,23,6
Ejido de Treinta y Tres,6782,1074,1396,879,1020,904,644,466,290,90,19
Hombres,3282,537,686,415,462,451,343,212,133,35,8
Mujeres,3500,537,710,464,558,453,301,254,157,55,11
Gral. Enrique Martínez,1430,199,339,160,181,180,153,115,73,24,6
Hombres,713,95,163,76,78,97,82,63,45,14,0
Mujeres,717,104,176,84,103,83,71,52,28,10,6
Santa Clara de Olimar,2341,396,454,249,286,267,234,238,142,68,7
Hombres,1153,213,239,109,130,130,118,118,64,30,2
Mujeres,1188,183,215,140,156,137,116,120,78,38,5
Treinta y Tres,25477,3346,4297,3061,3274,3237,2832,2491,1813,920,206
Hombres,11937,1705,2178,1458,1583,1521,1316,1072,738,312,54
Mujeres,13540,1641,2119,1603,1691,1716,1516,1419,1075,608,152
Vergara,3810,561,735,438,506,441,438,345,235,90,21
Hombres,1936,302,399,217,261,219,220,158,121,35,4
Mujeres,1874,259,336,221,245,222,218,187,114,55,17
Villa Sara,1199,210,234,167,174,154,107,79,53,16,5
Hombres,593,110,125,74,82,77,54,40,22,8,1
Mujeres,606,100,109,93,92,77,53,39,31,8,4
Menos de 1.000 habitantes,2229,379,452,313,305,278,247,145,75,27,8
Hombres,1154,206,212,154,160,152,135,82,38,12,3
Mujeres,1075,173,240,159,145,126,112,63,37,15,5
Rural,3172,428,464,348,452,451,378,375,208,56,12
Hombres,1833,219,261,180,267,277,224,230,137,31,7
Mujeres,1339,209,203,168,185,174,154,145,71,25,5

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011
(1) :La información de esta localidad se corresponde únicamente con el área ubicada dentro del departamento de referencia. 
