Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Artigas,40657,5793,7543,5125,4887,5421,4710,3514,2375,1101,188
Hombres,19435,3001,3782,2526,2257,2536,2278,1614,1003,386,52
Mujeres,21222,2792,3761,2599,2630,2885,2432,1900,1372,715,136
Baltasar Brum,2531,457,597,315,294,311,241,159,104,49,4
Hombres,1292,225,310,174,134,152,143,81,51,21,1
Mujeres,1239,232,287,141,160,159,98,78,53,28,3
Bella Unión,12200,1821,2426,1638,1430,1496,1488,1002,605,260,34
Hombres,5984,965,1211,823,676,704,733,484,281,94,13
Mujeres,6216,856,1215,815,754,792,755,518,324,166,21
Las Piedras,2771,686,664,416,343,275,195,109,57,22,4
Hombres,1376,350,326,206,154,136,103,64,28,8,1
Mujeres,1395,336,338,210,189,139,92,45,29,14,3
Pintadito,1642,336,438,218,203,170,138,75,44,18,2
Hombres,843,186,227,101,95,91,68,48,19,8,0
Mujeres,799,150,211,117,108,79,70,27,25,10,2
Sequeira,1149,237,268,149,140,141,87,59,44,22,2
Hombres,615,130,143,76,71,78,48,34,24,10,1
Mujeres,534,107,125,73,69,63,39,25,20,12,1
Tomás Gomensoro,2659,476,587,311,335,341,251,168,120,60,10
Hombres,1286,233,282,152,154,169,135,84,52,23,2
Mujeres,1373,243,305,159,181,172,116,84,68,37,8
Menos de 1.000 habitantes,6120,1324,1345,866,724,674,542,362,186,95,2
Hombres,3205,684,699,424,372,364,286,215,113,47,1
Mujeres,2915,640,646,442,352,310,256,147,73,48,1
Rural,3524,490,573,431,436,476,478,379,188,67,6
Hombres,1977,262,304,230,223,271,290,235,119,41,2
Mujeres,1547,228,269,201,213,205,188,144,69,26,4

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
