Localidad y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
Alejandro Gallinal,1357,235,264,170,172,163,131,100,86,32,4
Hombres,687,126,138,85,79,84,68,50,43,12,2
Mujeres,670,109,126,85,93,79,63,50,43,20,2
Casupá,2402,285,382,260,298,277,270,241,237,128,24
Hombres,1136,135,192,129,143,134,129,118,96,52,8
Mujeres,1266,150,190,131,155,143,141,123,141,76,16
Florida,33639,4864,5512,4410,4550,4039,3646,2979,2235,1193,211
Hombres,15997,2519,2774,2193,2209,1874,1710,1346,909,401,62
Mujeres,17642,2345,2738,2217,2341,2165,1936,1633,1326,792,149
Fray Marcos,2398,292,359,287,291,321,246,232,225,127,18
Hombres,1150,146,177,146,151,151,114,112,99,50,4
Mujeres,1248,146,182,141,140,170,132,120,126,77,14
Nico Pérez,1030,151,208,111,123,122,123,81,62,41,8
Hombres,497,79,105,50,59,61,59,43,23,16,2
Mujeres,533,72,103,61,64,61,64,38,39,25,6
Sarandí Grande,6130,749,971,667,788,758,662,648,530,285,72
Hombres,2973,397,499,348,393,353,321,303,227,111,21
Mujeres,3157,352,472,319,395,405,341,345,303,174,51
Veinticinco de Agosto,1849,282,318,233,262,219,202,165,112,46,10
Hombres,906,134,170,122,126,108,108,77,44,14,3
Mujeres,943,148,148,111,136,111,94,88,68,32,7
Veinticinco de Mayo,1852,223,331,192,209,232,201,204,158,83,19
Hombres,883,109,149,103,103,113,103,99,70,30,4
Mujeres,969,114,182,89,106,119,98,105,88,53,15
Menos de 1.000 habitantes,7289,1027,1324,877,884,861,728,683,568,279,58
Hombres,3629,532,708,453,426,418,349,346,269,119,9
Mujeres,3660,495,616,424,458,443,379,337,299,160,49
Rural,9101,1412,1401,1211,1329,1133,1136,801,456,188,34
Hombres,5094,756,749,666,721,645,669,507,262,100,19
Mujeres,4007,656,652,545,608,488,467,294,194,88,15

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
