CCZ y Sexo,Total,0 a 9,10 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 a 89,90 o más
CCZ 1,46361,3811,4227,9323,7499,5486,5509,4485,3478,2123,420
Hombres,20957,1897,2143,4355,3748,2672,2435,1815,1204,605,83
Mujeres,25404,1914,2084,4968,3751,2814,3074,2670,2274,1518,337
CCZ 2,101241,7623,9889,24778,15608,10873,10876,8642,7155,4827,970
Hombres,45036,3940,4702,11489,7719,5031,4684,3432,2498,1352,189
Mujeres,56205,3683,5187,13289,7889,5842,6192,5210,4657,3475,781
CCZ 3,82137,8270,9019,13058,12322,10163,10104,7975,6520,4035,671
Hombres,36944,4209,4510,6231,5959,4712,4484,3235,2281,1183,140
Mujeres,45193,4061,4509,6827,6363,5451,5620,4740,4239,2852,531
CCZ 4,37652,3401,3848,6420,5573,4750,4674,3387,3065,2126,408
Hombres,16672,1758,2022,3024,2584,2148,2040,1356,1055,604,81
Mujeres,20980,1643,1826,3396,2989,2602,2634,2031,2010,1522,327
CCZ 5,121851,10299,11352,19160,17578,14664,16027,13413,10877,7103,1378
Hombres,53436,5270,5699,8936,8236,6565,6913,5372,3973,2201,271
Mujeres,68415,5029,5653,10224,9342,8099,9114,8041,6904,4902,1107
CCZ 6,59030,6863,7341,8561,8139,7064,7505,5648,4756,2704,449
Hombres,26810,3484,3770,4149,3846,3289,3306,2284,1768,816,98
Mujeres,32220,3379,3571,4412,4293,3775,4199,3364,2988,1888,351
CCZ 7,51016,4762,5349,6844,6656,7014,7083,5452,4642,2725,489
Hombres,22976,2376,2697,3386,3090,3222,3169,2248,1786,893,109
Mujeres,28040,2386,2652,3458,3566,3792,3914,3204,2856,1832,380
CCZ 8,43349,4929,6477,5846,5040,6221,6087,3826,2952,1696,275
Hombres,20345,2552,3300,3023,2274,2775,2858,1710,1184,601,68
Mujeres,23004,2377,3177,2823,2766,3446,3229,2116,1768,1095,207
CCZ 9,168893,27225,28831,24618,23918,20078,17476,12796,8909,4401,641
Hombres,81225,13970,14502,12117,11733,9719,8312,5681,3592,1462,137
Mujeres,87668,13255,14329,12501,12185,10359,9164,7115,5317,2939,504
CCZ 10,45928,7870,7921,6680,6598,5342,4746,3435,2199,1005,132
Hombres,22374,4011,3997,3261,3228,2662,2249,1630,941,356,39
Mujeres,23554,3859,3924,3419,3370,2680,2497,1805,1258,649,93
CCZ 11,135269,21191,21859,19689,18699,15940,14839,10624,7752,4124,552
Hombres,64067,10910,11132,9515,8987,7648,6912,4682,2940,1217,124
Mujeres,71202,10281,10727,10174,9712,8292,7927,5942,4812,2907,428
CCZ 12,57975,8496,9680,8331,7978,7175,6430,4599,3262,1724,300
Hombres,27627,4460,4917,4084,3813,3409,2995,2032,1284,558,75
Mujeres,30348,4036,4763,4247,4165,3766,3435,2567,1978,1166,225
CCZ 13,93327,12952,13754,13218,13071,11205,10779,8130,6276,3462,480
Hombres,43914,6702,6912,6514,6335,5351,4989,3529,2351,1108,123
Mujeres,49413,6250,6842,6704,6736,5854,5790,4601,3925,2354,357
CCZ 14,83112,11906,12486,12095,11392,9725,9434,7100,5519,3020,435
Hombres,39001,6063,6292,5874,5564,4642,4343,3127,2083,925,88
Mujeres,44111,5843,6194,6221,5828,5083,5091,3973,3436,2095,347
CCZ 15,29091,2833,3415,3913,3926,3690,3697,3027,2606,1657,327
Hombres,13092,1459,1761,1935,1872,1717,1677,1216,919,472,64
Mujeres,15999,1374,1654,1978,2054,1973,2020,1811,1687,1185,263
CCZ 16,37724,3887,4247,5645,5480,4734,4721,3657,2997,1932,424
Hombres,16944,1956,2157,2751,2587,2227,2117,1495,1066,503,85
Mujeres,20780,1931,2090,2894,2893,2507,2604,2162,1931,1429,339
CCZ 17,83131,13997,14957,12200,11890,9584,8565,5909,3947,1822,260
Hombres,40349,7181,7785,5895,5844,4673,4067,2672,1576,592,64
Mujeres,42782,6816,7172,6305,6046,4911,4498,3237,2371,1230,196
CCZ 18,41668,6167,6883,7503,6254,4819,4052,3041,1947,898,104
Hombres,21987,3159,3586,4588,3508,2516,2003,1462,806,331,28
Mujeres,19681,3008,3297,2915,2746,2303,2049,1579,1141,567,76

Fuente: Instituto Nacional de Estadística (INE) - Censos 2011.
Nota: El cuadro no incluye las personas en situación de calle.
